iid	pop	max_roh	sum_roh>4	n_roh>4	sum_roh>8	n_roh>8	sum_roh>12	n_roh>12	sum_roh>20	n_roh>20	lat	lon	age	study	clst	mean_cov	n_cov_snp	include_alt	region	color	economy
SZ3.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	5.763835	1181309	1	Balkans	blue	Agriculture
SZ4.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	11.762964	1181245	1	Balkans	blue	Agriculture
SZ45.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	10.739735000000001	1181237	1	Balkans	blue	Agriculture
SZ1.SG	Hungary_AvarPeriod.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1250.0	AmorimNatureCommunications2018	Hungary_AvarPeriod.SG	9.279219	1181117	1	Balkans	blue	Agriculture
SZ15.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	10.826289	1181035	1	Balkans	blue	Agriculture
SZ11.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	9.279219	1180814	1	Balkans	blue	Agriculture
Sumidouro5.SG	Brazil_Sumidouro_10100BP.SG	13.458604000000006	103.85892	16	49.25860099999999	5	13.458604000000006	1	0.0	0	-19.54	-43.94	10405.0	MorenoMayarScience2018	Brazil_Sumidouro_10100BP.SG	13.628460999999998	1180724	1	Atlantic Coast	purple	Foraging
KK1.SG	Georgia_Kotias.SG	11.485385999999973	60.63698499999993	9	11.485385999999973	1	0.0	0	0.0	0	42.28	43.28	9720.0	JonesNatureCommunications2015	Georgia_Kotias.SG	12.482000000000001	1180629	1	Steppe	purple	Foraging
I6747_all.SG	England_N_all.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	53.07980300000001	-1.640942	5539.0	BraceDiekmannNatureEcologyEvolution2019	England_N_all.SG	13.201402999999999	1180398	1	Britain	blue	Agriculture
WC1.SG	Iran_Wezmeh_N.SG	23.169699	66.64900099999998	7	48.26209799999999	3	38.59309799999999	2	23.169699	1	34.6129	47.1057	9219.0	BroushakiScience2016	Iran_Wezmeh_N.SG	10.388	1180203	1	Central Asia	blue	Agriculture
Yana_old2.SG	Yana_UP.SG	14.087700000000005	52.84379899999998	7	22.9539	2	14.087700000000005	1	0.0	0	70.72	135.42	31950.0	SikoraNature2019	Yana_UP.SG	7.217905	1178800	1	all	purple	Foraging
C1.SG	Nepal_Chokhopani_2700BP.SG	13.058000999999996	61.82260000000001	7	45.66869200000001	4	26.106102	2	0.0	0	29.2344	83.982202	2775.0	JeongPNAS2016	Nepal_Chokhopani_2700BP.SG	7.182	1178495	1	Himalaya	blue	Agriculture
I10871.SG	Cameroon_SMA.SG	11.862999	29.57140500000001	4	11.862999	1	0.0	0	0.0	0	5.8586	10.0778	7890.0	LipsonNature2020	Cameroon_SMA.SG	18.5137	1178281	1	all	purple	Foraging
SZ2.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	6.3293870000000005	1176754	1	Balkans	blue	Agriculture
SZ5.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	6.248029	1176362	1	Balkans	blue	Agriculture
Bichon.SG	Switzerland_Bichon.SG	7.859199999999999	58.481305000000006	11	0.0	0	0.0	0	0.0	0	47.09999847	6.8699998860000004	13665.0	JonesNatureCommunications2015	Switzerland_Bichon.SG	8.443	1176132	1	Central Europe	purple	Foraging
atp002.SG	Iberia_C.SG	4.340499999999997	4.340499999999997	1	0.0	0	0.0	0	0.0	0			4740.0	ValdioseraPNAS2018	Iberia_C.SG	6.865857000000001	1175853	1	Iberia	blue	Agriculture
DA45.SG	Mongolia_XiongNu.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	42.52583333	105.18	2062.0	DamgaardNature2018	Mongolia_XiongNu.SG	8.669	1175282	1	East Steppe	gold	Pastoralism
SZ36.SG	Hungary_Langobard.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard.SG	5.763835	1173847	1	Balkans	blue	Agriculture
IPY10.SG	Chile_Yamana_BeagleChannel_800BP.SG	16.699099	178.35090400000004	25	91.80760600000002	8	29.81510100000001	2	0.0	0	-54.93	-67.62	610.0	delaFuentePNAS2018	Chile_Yamana_BeagleChannel_800BP.SG	4.688453	1173110	1	Patagonia	purple	Foraging
I0160.SG	England_LIA.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	52.08	0.18	1995.0	SchiffelsNatureCommunications2016	England_LIA.SG	8.439	1172478	1	Britain	blue	Agriculture
IL7.SG	Peru_RioUncallane_1800BP.SG	11.017894999999989	20.048893	3	11.017894999999989	1	0.0	0	0.0	0	-16.2	-69.7	1778.0	LindoScienceAdvances2018	Peru_RioUncallane_1800BP.SG	4.842531	1169746	1	Andean	gray	Low Certainty
Anzick_realigned.SG	USA_Anzick_realigned.SG	15.31360100000001	290.9256400000001	39	151.12330200000005	14	40.61790700000001	3	0.0	0	45.993056	-110.66138899999999	12649.0	RasmussenNature2014	USA_Anzick_realigned.SG	14.045535999999998	1169065	1	Pacific NW	purple	Foraging
Sunghir6.SG	Russia_Sunghir6.SG	4.421998000000005	4.421998000000005	1	0.0	0	0.0	0	0.0	0	56.17611111	40.5025	790.0	SikoraScience2017	Russia_Sunghir6.SG	4.8768400000000005	1164717	1	Steppe	purple	Foraging
HSJ-A-1_38.SG	Iceland_Pre_Christian.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	64.9631	-19.0208	1015.0	EbenesersdottirScience2018	Iceland_Pre_Christian.SG	5.283111	1164678	1	Islands	blue	Agriculture
Sunghir2.SG	Russia_Sunghir2.SG	26.383901000000005	213.798499	26	122.87350199999996	9	77.72380100000002	4	51.393306	2	56.17611111	40.5025	34234.0	SikoraScience2017	Russia_Sunghir2.SG	4.623346	1164216	1	Steppe	purple	Foraging
Andaman.SG	Indian_GreatAndaman_100BP.SG	43.705002	379.33114	34	296.16503	19	201.983398	9	113.219799	3	12.5	92.8	90.0	MorenoMayarScience2018	Indian_GreatAndaman_100BP.SG	18.180248000000002	1163016	1	Islands	gray	Low Certainty
prs016-ALL_DATA.SG	Ireland_Megalithic.SG	4.669797999999991	8.781697999999992	2	0.0	0	0.0	0	0.0	0	54.2469	-8.55609	5560.0	SanchezQuintoPNAS2019	Ireland_Megalithic.SG	4.349734	1161741	1	Britain	blue	Agriculture
Sunghir4.SG	Russia_Sunghir4.SG	24.74330100000001	200.8453130000001	23	134.98390900000004	11	66.33660900000001	3	47.71770300000002	2	56.17611111	40.5025	33992.0	SikoraScience2017	Russia_Sunghir4.SG	4.398612	1160873	1	Steppe	purple	Foraging
I11974.SG	Chile_LosRieles_12000BP.SG	16.644499	272.149886	41	97.82350199999992	9	45.115802	3	0.0	0	-31.92	-71.5	11885.0	PosthNakatsukaCell2018	Chile_LosRieles_12000BP.SG	5.691007	1158990	1	Andean	purple	Foraging
gun011.SG	Canary_Islands_Guanche.SG	13.865798999999999	53.18620700000001	7	27.538401999999994	2	27.538401999999994	2	0.0	0	28.268611	-16.605556	1159.0	RodriguezVarelaCurrentBiology2017	Canary_Islands_Guanche.SG	4.139562000000001	1156055	1	Islands	blue	Agriculture
R9.SG	Italy_N.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	41.96	13.54	7496.0	AntonioGaoMootsScience2019	Italy_N.SG	4.50456	1153527	1	Central Italy	blue	Agriculture
NE1.SG	Hungary_LBK_MN.SG	6.294310000000002	6.294310000000002	1	0.0	0	0.0	0	0.0	0	47.84646400000001	21.149429	7139.0	GambaNatureCommunications2014	Hungary_LBK_MN.SG	19.27	1152433	1	Eastern Europe	blue	Agriculture
bally.SG	Ireland_MN.SG	11.803995999999994	16.434393999999998	2	11.803995999999994	1	0.0	0	0.0	0	54.54222222	-5.956666667	5132.0	CassidyPNAS2016	Ireland_MN.SG	11.285	1150887	1	Britain	blue	Agriculture
USR1.SG	USA_Ancient_Beringian.SG	24.669099	258.674515	35	108.57669099999998	8	70.74749499999997	4	24.669099	1	64.07150899999999	-152.514253	11435.0	MorenoMayarNature2017	USA_Ancient_Beringian.SG	17.0	1150886	1	Bering Sea	purple	Foraging
Lovelock3.SG	USA_Nevada_LovelockCave_600BP.SG	9.951007	40.174712999999976	7	9.951007	1	0.0	0	0.0	0	39.96	-118.56	627.0	MorenoMayarScience2018	USA_Nevada_LovelockCave_600BP.SG	18.128566	1150692	1	Pacific NW	purple	Foraging
Lovelock2.SG	USA_Nevada_LovelockCave_1850BP.SG	18.508994	90.96548099999997	11	51.893590999999994	4	31.67419400000001	2	0.0	0	39.96	-118.56	1880.0	MorenoMayarScience2018	USA_Nevada_LovelockCave_1850BP.SG	14.359982	1150497	1	Pacific NW	purple	Foraging
ela001.SG	South_Africa_400BP.SG	5.870807999999994	10.370606999999998	2	0.0	0	0.0	0	0.0	0			493.0	SchlebuschScience2017	South_Africa_400BP.SG	10.528408	1150235	1	South Africa	gray	Low Certainty
new001.SG	South_Africa_400BP.SG	10.957301	20.21229199999998	3	10.957301	1	0.0	0	0.0	0			418.0	SchlebuschScience2017	South_Africa_400BP.SG	11.071043	1150129	1	South Africa	gray	Low Certainty
atp016.SG	Iberia_C.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0			5040.0	ValdioseraPNAS2018	Iberia_C.SG	11.310636	1150106	1	Iberia	blue	Agriculture
BOT2016.SG	Kazakhstan_Eneolithic_Botai.SG	6.483397000000003	37.84598900000001	7	0.0	0	0.0	0	0.0	0	53.16666667	67.66666667	5450.0	DamgaardScience2018	Kazakhstan_Eneolithic_Botai.SG	13.6	1149684	1	Steppe	purple	Foraging
PC537.SG	Bahamas_Taino.SG	10.175198000000009	28.68249599999999	4	19.390994000000006	2	0.0	0	0.0	0	25.557109	-76.695171	995.0	SchroederPNAS2018	Bahamas_Taino.SG	9.180100999999999	1149637	1	Islands	blue	Agriculture
NEO240.SG	DevilsCave_N.SG	20.5524	231.41738700000008	26	172.88088800000008	14	102.081796	7	20.5524	1	44.5	135.4	7508.0	SikoraNature2019	DevilsCave_N.SG	6.8432699999999995	1147984	1	all	purple	Foraging
EBA2.SG	Kazakhstan_CentralSteppe_EMBA.SG	25.509897	45.446897	4	35.499398	2	25.509897	1	25.509897	1	52.629778	76.72764699999998	4494.0	DamgaardScience2018	Kazakhstan_CentralSteppe_EMBA.SG	7.141430000000001	1147898	1	Steppe	gold	Pastoralism
Ust_Ishim_published.DG	Russia_Ust_Ishim_HG_published.DG	15.465700000000005	99.61070499999998	14	40.06839299999998	3	29.933601	2	0.0	0	57.7	71.1	45020.0	FuNature2014	Russia_Ust_Ishim_HG_published.DG	42.0	1147829	1	Steppe	purple	Foraging
RISE1163.SG	Poland_Koszyce_GAC.SG	5.376499000000001	5.376499000000001	1	0.0	0	0.0	0	0.0	0	48.7	21.2	4735.0	SchroederPNAS2019	Poland_Koszyce_GAC.SG	3.8061589999999996	1147530	1	Eastern Europe	blue	Agriculture
mfo001.SG	South_Africa_400BP.SG	8.265602999999999	8.265602999999999	1	8.265602999999999	1	0.0	0	0.0	0			378.0	SchlebuschScience2017	South_Africa_400BP.SG	6.515139	1147468	1	South Africa	gray	Low Certainty
RISE493.SG	Russia_Karasuk.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	53.152	91.05	3429.0	AllentoftNature2015	Russia_Karasuk.SG	8.081	1145689	1	Steppe	gold	Pastoralism
R4.SG	Italy_C.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	41.96	13.54	4865.0	AntonioGaoMootsScience2019	Italy_C.SG	3.92985	1145669	1	Central Italy	blue	Agriculture
IL2.SG	Peru_RioUncallane_1800BP.SG	5.124795000000003	14.593298000000004	3	0.0	0	0.0	0	0.0	0	-16.2	-69.7	1600.0	LindoScienceAdvances2018	Peru_RioUncallane_1800BP.SG	5.66564	1145260	1	Andean	gray	Low Certainty
SSG-A-2_38.SG	Iceland_Pre_Christian.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	64.9631	-19.0208	1025.0	EbenesersdottirScience2018	Iceland_Pre_Christian.SG	4.176357	1145149	1	Islands	blue	Agriculture
SI-53.SG	Lebanon_Medieval_o4.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	33.560556	35.398056	861.0	HaberAJHG2018	Lebanon_Medieval_o4.SG	4.363621	1145131	1	Levante	blue	Agriculture
prs013-ALL_DATA.SG	Ireland_Megalithic.SG	4.509604	4.509604	1	0.0	0	0.0	0	0.0	0	54.2469	-8.55609	5450.0	SanchezQuintoPNAS2019	Ireland_Megalithic.SG	4.232406	1145014	1	Britain	blue	Agriculture
IPK12.SG	Chile_WesternArchipelago_Kaweskar_800BP.SG	27.178198	352.39066799999983	38	230.885918	16	181.213913	11	48.985499	2	-53.35	-70.97	570.0	delaFuentePNAS2018	Chile_WesternArchipelago_Kaweskar_800BP.SG	6.334562	1142798	1	Patagonia	purple	Foraging
IL3.SG	Peru_RioUncallane_1800BP.SG	25.73039600000002	163.55809900000006	14	142.07628700000006	10	100.52108400000006	6	25.73039600000002	1	-16.2	-69.7	1700.0	LindoScienceAdvances2018	Peru_RioUncallane_1800BP.SG	5.107442	1142274	1	Andean	gray	Low Certainty
Bar8.SG	Anatolia_N.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	40.3037	29.6085	8071.0	HofmanovaPNAS2016	Anatolia_N.SG	6.93	1141733	1	Aegan	blue	Agriculture
vik_84001.SG	Sweden_Viking.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	59.617309999999996	17.72361	989.0	KrzewinskaCurrentBiology2018	Sweden_Viking.SG	3.682839	1141127	1	Baltic Sea	blue	Agriculture
Loschbour_published.DG	Luxembourg_Loschbour_published.DG	13.153397999999996	97.56373999999997	13	54.76652999999993	5	13.153397999999996	1	0.0	0	49.81	6.4	8050.0	LazaridisNature2014	Luxembourg_Loschbour_published.DG	22.0	1139327	1	Central Europe	purple	Foraging
Gyvakarai1_10bp	Lithuania_LN	8.055596999999992	8.055596999999992	1	8.055596999999992	1	0.0	0	0.0	0	55.918	24.913	4495.0	MittnikNatureCommunications2018	Lithuania_LN	4.482811	1137323	1	Baltic Sea	gray	Low Certainty
S35.SG	Nepal_Samzdong_1500BP.SG	17.873499999999996	55.45600199999999	7	17.873499999999996	1	17.873499999999996	1	0.0	0	29.2344	83.982202	1500.0	JeongPNAS2016	Nepal_Samzdong_1500BP.SG	3.72	1135160	1	Himalaya	blue	Agriculture
RISE497.SG	Russia_Karasuk_o.SG	15.773391000000016	36.49988700000001	4	24.412989000000014	2	15.773391000000016	1	0.0	0	52.95399999999999	90.18700000000001	3100.0	AllentoftNature2015	Russia_Karasuk_o.SG	9.086	1134584	1	Steppe	gold	Pastoralism
Latvia_HG2.SG	Latvia_HG.SG	25.207898	106.90792799999996	14	54.91720499999998	4	25.207898	1	25.207898	1	56.2833	25.1333	7689.0	JonesCurrentBiology2017	Latvia_HG.SG	3.4330000000000003	1132063	1	Baltic Sea	purple	Foraging
SI-45.SG	Lebanon_Medieval.SG	14.780092000000002	14.780092000000002	1	14.780092000000002	1	14.780092000000002	1	0.0	0	33.560556	35.398056	702.0	HaberAJHG2018	Lebanon_Medieval.SG	3.600627	1131953	1	Levante	blue	Agriculture
Stuttgart_published.DG	Germany_EN_LBK_Stuttgart_published.DG	12.57690199999999	12.57690199999999	1	12.57690199999999	1	12.57690199999999	1	0.0	0	48.78	9.18	7140.0	LazaridisNature2014	Germany_EN_LBK_Stuttgart_published.DG	19.0	1130723	1	Central Europe	blue	Agriculture
R7.SG	Italy_Mesolithic.SG	37.29829199999999	328.47790600000013	30	248.096517	16	176.01119400000005	8	89.204892	3	41.96	13.54	10682.0	AntonioGaoMootsScience2019	Italy_Mesolithic.SG	3.438531	1129613	1	Central Italy	purple	Foraging
RISE495.SG	Russia_Karasuk.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	52.95399999999999	90.18700000000001	3100.0	AllentoftNature2015	Russia_Karasuk.SG	4.394	1129596	1	Steppe	gold	Pastoralism
I0774.SG	England_Saxon.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	52.261359999999996	0.06869	1483.0	SchiffelsNatureCommunications2016	England_Saxon.SG	5.417999999999999	1129556	1	Britain	blue	Agriculture
vik_grt035.SG	Sweden_Viking.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	59.617309999999996	17.72361	996.0	KrzewinskaCurrentBiology2018	Sweden_Viking.SG	3.290289	1128667	1	Baltic Sea	blue	Agriculture
R3.SG	Italy_N.SG	8.830201999999998	8.830201999999998	1	8.830201999999998	1	0.0	0	0.0	0	41.96	13.54	7730.0	AntonioGaoMootsScience2019	Italy_N.SG	4.416601	1126622	1	Central Italy	blue	Agriculture
R15.SG	Italy_Mesolithic.SG	9.985602000000004	51.68840399999999	8	19.02480100000001	2	0.0	0	0.0	0	41.96	13.54	9125.0	AntonioGaoMootsScience2019	Italy_Mesolithic.SG	3.3626370000000003	1126562	1	Central Italy	purple	Foraging
R1.SG	Italy_IA_Republic.SG	10.3826	18.791099000000006	2	18.791099000000006	2	0.0	0	0.0	0	42.8801396	13.8937652	2835.0	AntonioGaoMootsScience2019	Italy_IA_Republic.SG	4.287974	1125318	1	Central Italy	blue	Agriculture
S10.SG	Nepal_Samdzong_1500BP.SG	19.573301000000008	57.66919300000001	6	33.69479799999999	2	33.69479799999999	2	0.0	0	29.2344	83.982202	1500.0	JeongPNAS2016	Nepal_Samdzong_1500BP.SG	3.263	1124932	1	Himalaya	blue	Agriculture
LU339.SG	Iberia_MN_BA.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	41.708333	-6.927778	6798.0	GonzalesFortesProcRoyalSocB2019	Iberia_MN_BA.SG	3.4740019999999996	1124350	1	Iberia	blue	Agriculture
I0777.SG	England_Saxon.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	52.261359999999996	0.06869	1478.0	SchiffelsNatureCommunications2016	England_Saxon.SG	4.815	1123743	1	Britain	blue	Agriculture
I6767_all.SG	England_Mesolithic_all.SG	12.916898999999995	52.75721100000001	9	12.916898999999995	1	12.916898999999995	1	0.0	0	51.281679	-2.765746	10300.0	BraceDiekmannNatureEcologyEvolution2019	England_Mesolithic_all.SG	3.7632480000000004	1123721	1	Britain	purple	Foraging
R42.SG	Italy_Imperial.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	41.7478821	12.2594749	1879.0	AntonioGaoMootsScience2019	Italy_Imperial.SG	4.147295	1122927	1	Central Italy	blue	Agriculture
prs009-ALL_DATA.SG	Ireland_Megalithic.SG	6.0039039999999915	14.922800000000002	3	0.0	0	0.0	0	0.0	0	59.156543000000006	-3.099138	5380.0	SanchezQuintoPNAS2019	Ireland_Megalithic.SG	3.460814	1122257	1	Britain	blue	Agriculture
RISE505.SG	Russia_Andronovo.SG	5.814301999999999	15.305610000000026	3	0.0	0	0.0	0	0.0	0	53.456	85.447	3636.0	AllentoftNature2015	Russia_Andronovo.SG	5.277	1122100	1	Steppe	gold	Pastoralism
RISE664.SG	Russia_BA_Okunevo.SG	10.1857	71.481112	10	44.541109000000006	5	0.0	0	0.0	0	53.54780600000001	91.02565	4283.0	DamgaardScience2018	Russia_BA_Okunevo.SG	4.6	1121362	1	Steppe	gold	Pastoralism
I10873.SG	Cameroon_SMA.SG	4.152300999999997	4.152300999999997	1	0.0	0	0.0	0	0.0	0	5.8586	10.0778	3070.0	LipsonNature2020	Cameroon_SMA.SG	3.944637	1121342	1	all	gray	Not Assigned
prs002-ALL_DATA.SG	Ireland_Megalithic.SG	17.192501000000004	63.24640100000003	6	51.261901000000016	4	29.91070200000001	2	0.0	0	54.2469	-8.55609	5675.0	SanchezQuintoPNAS2019	Ireland_Megalithic.SG	3.764807	1119566	1	Britain	blue	Agriculture
R2.SG	Italy_N.SG	18.837799	27.403599999999994	3	18.837799	1	18.837799	1	0.0	0	41.96	13.54	7984.0	AntonioGaoMootsScience2019	Italy_N.SG	4.013658	1119222	1	Central Italy	blue	Agriculture
GB.SG	Romania_C.SG	18.334096	107.086474	16	36.364697	3	18.334096	1	0.0	0	46.787724700000005	23.520877	5378.0	GonzalesFortesCurrentBiology2017	Romania_C.SG	3.8355379999999997	1116974	1	Balkans	gray	Low Certainty
SF12.SG	Sweden_Mesolithic.SG	6.445601000000001	38.822	8	0.0	0	0.0	0	0.0	0	57.285414	17.972785000000002	8895.0	GuntherPLoSBiology2018	Sweden_Mesolithic.SG	65.167796	1116314	1	Baltic Sea	purple	Foraging
Alh1.SG	Germany_EMedieval.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	48.59748	12.198209	1500.0	VeeramahPNAS2018	Germany_EMedieval.SG	0.8547	1116070	1	Central Europe	blue	Agriculture
Hum2.SG	Norway_Mesolithic.SG	8.193492999999988	26.857688999999986	5	8.193492999999988	1	0.0	0	0.0	0	58.063935	7.7438020000000005	9364.0	GuntherPLoSBiology2018	Norway_Mesolithic.SG	4.220982	1115169	1	Baltic Sea	purple	Foraging
BOT14.SG	Kazakhstan_Eneolithic_Botai.SG	12.500297999999988	39.914194	5	22.24289799999999	2	12.500297999999988	1	0.0	0	53.16666667	67.66666667	5264.0	DamgaardScience2018	Kazakhstan_Eneolithic_Botai.SG	2.965509	1114698	1	Steppe	purple	Foraging
DA249.SG	Russia_Shamanka_Eneolithic.SG	28.501498999999985	186.87896399999997	14	155.93197199999997	8	145.56307699999996	7	117.37668399999997	5	51.698333	103.703056	7840.0	DamgaardScience2018	Russia_Shamanka_Eneolithic.SG	4.5	1113894	1	East Steppe	purple	Foraging
RISE1170.SG	Poland_Koszyce_GAC.SG	11.876699000000004	11.876699000000004	1	11.876699000000004	1	0.0	0	0.0	0	48.7	21.2	4749.0	SchroederPNAS2019	Poland_Koszyce_GAC.SG	3.5284169999999997	1112811	1	Eastern Europe	blue	Agriculture
I0232	Russia_Srubnaya	6.742502	12.930488999999984	2	0.0	0	0.0	0	0.0	0	48.1	54.44	3475.0	NarasimhanPattersonScience2019 (supplement of MathiesonNature2018)	Russia_Srubnaya	8.649536999999999	1112239	1	Steppe	gold	Pastoralism
STT-A-2_38.SG	Iceland_Pre_Christian.SG	4.0521980000000015	4.0521980000000015	1	0.0	0	0.0	0	0.0	0	64.9631	-19.0208	1000.0	EbenesersdottirScience2018	Iceland_Pre_Christian.SG	3.1605990000000004	1110874	1	Islands	blue	Agriculture
ans017.SG	Sweden_Megalithic.SG	61.531305999999994	346.27239800000007	20	316.74380200000013	15	287.87510200000014	12	192.539305	6	57.33849100000001	18.256295	5080.0	SanchezQuintoPNAS2019	Sweden_Megalithic.SG	2.961673	1109883	1	Baltic Sea	blue	Agriculture
kzb002.SG	Russia_Srubnaya_Alakul.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	53.930301	55.7431	3721.0	KrzewinskaScienceAdvances2018	Russia_Srubnaya_Alakul.SG	2.919189	1107285	1	Steppe	gold	Pastoralism
RISE1162.SG	Poland_Koszyce_GAC.SG_daughter.RISE1170.SG.sister.RISE1164.SG	26.028399	26.028399	1	26.028399	1	26.028399	1	26.028399	1	48.7	21.2	4747.0	SchroederPNAS2019	Poland_Koszyce_GAC.SG_daughter.RISE1170.SG.sister.RISE1164.SG	2.855699	1104048	1	Eastern Europe	blue	Agriculture
I0231_published	Russia_EBA_Yamnaya_Samara_published2	4.985800999999999	18.387200000000007	4	0.0	0	0.0	0	0.0	0	52.71085	49.46685556	4792.0	NarasimhanPattersonScience2019 (previously MathiesonNature2015 which was 1240k of same sample with 390k in HaakLazaridis2015)	Russia_EBA_Yamnaya_Samara_published2	9.905002	1103245	1	Steppe	gold	Pastoralism
Inuk.SG	Greenland_Saqqaq.SG	13.985198999999998	235.30820799999992	37	74.91609199999995	7	26.91989499999999	2	0.0	0	69.2438	-53.5413	3885.0	RasmussenNature2010	Greenland_Saqqaq.SG	14.14	1101700	1	Islands	gray	Low Certainty
